,repetition_number,weight_index,weight_tuple,num_iterations,normalised_speed_reward,normalised_energy_reward,raw_speed_reward,raw_energy_reward,env_config_id,gamma,replay_buffer_size,use_reward_normalisation_wrapper,use_default_reward_normalisation
0,0,0,"[0.0, 1.0]",80,0.11117164659973948,0.9435378826843618,8.893731727979159,75.48303061474894,0,0.9,1000,False,True
1,1,0,"[0.0, 1.0]",80,0.10492164659033268,0.9372878826843618,8.393731727226614,74.98303061474894,0,0.9,1000,False,True
2,2,0,"[0.0, 1.0]",80,0.1674565560821491,0.999787882684363,13.396524486571929,79.98303061474904,0,0.9,1000,False,True
3,3,0,"[0.0, 1.0]",80,0.11566100055959863,0.9411167625152796,9.25288004476789,75.28934100122237,0,0.9,1000,False,True
4,4,0,"[0.0, 1.0]",80,0.16605563801055587,0.998398993795474,13.28445104084447,79.87191950363793,0,0.9,1000,False,True
5,5,0,"[0.0, 1.0]",80,0.1674565560821491,0.999787882684363,13.396524486571929,79.98303061474904,0,0.9,1000,False,True
6,6,0,"[0.0, 1.0]",80,0.10633341167637975,0.9386767715732507,8.50667293411038,75.09414172586006,0,0.9,1000,False,True
7,7,0,"[0.0, 1.0]",80,0.16672720215529535,0.9990934382399186,13.338176172423628,79.92747505919348,0,0.9,1000,False,True
8,8,0,"[0.0, 1.0]",80,0.16537152162473123,0.9977045493510296,13.229721729978499,79.81636394808237,0,0.9,1000,False,True
9,9,0,"[0.0, 1.0]",80,0.1691213143282324,0.994588984737503,13.529705146258593,79.56711877900024,0,0.9,1000,False,True
10,10,0,"[0.0, 1.0]",80,0.1674565560821491,0.999787882684363,13.396524486571929,79.98303061474904,0,0.9,1000,False,True
11,11,0,"[0.0, 1.0]",80,0.16327762680705385,0.9956212160176964,13.062210144564308,79.64969728141571,0,0.9,1000,False,True
12,12,0,"[0.0, 1.0]",80,0.16532640415783612,0.9977045493510296,13.22611233262689,79.81636394808237,0,0.9,1000,False,True
13,13,0,"[0.0, 1.0]",80,0.16672720215529535,0.9990934382399186,13.338176172423628,79.92747505919348,0,0.9,1000,False,True
14,14,0,"[0.0, 1.0]",80,0.16672720215529535,0.9990934382399186,13.338176172423628,79.92747505919348,0,0.9,1000,False,True
15,15,0,"[0.0, 1.0]",80,0.10009544497103773,0.9324267715732507,8.007635597683018,74.59414172586006,0,0.9,1000,False,True
16,16,0,"[0.0, 1.0]",80,0.05561609104418388,0.8879823271288059,4.44928728353471,71.03858617030447,0,0.9,1000,False,True
17,17,0,"[0.0, 1.0]",80,0.17121655611515454,0.9966723180708363,13.697324489212363,79.73378544566691,0,0.9,1000,False,True
18,18,0,"[0.0, 1.0]",80,0.1674565560821491,0.999787882684363,13.396524486571929,79.98303061474904,0,0.9,1000,False,True
19,19,0,"[0.0, 1.0]",80,0.1674565560821491,0.999787882684363,13.396524486571929,79.98303061474904,0,0.9,1000,False,True
